Model,Condition,Log,Class,iou,dice,recall,precision,vs,hd_3d,assd_3d
DilatedCNN+MRF log-split,2D only,Dub 9,Background,0.9966,0.9983,0.9975,0.9991,0.9992,,
DilatedCNN+MRF log-split,2D only,Dub 9,Bark,0.7106,0.8308,0.931,0.7501,0.8924,,
DilatedCNN+MRF log-split,2D only,Dub 9,Wood,0.9647,0.982,0.9699,0.9944,0.9875,,
DilatedCNN+MRF log-split,2D only,Dub 9,Knot,0.6578,0.7936,0.9734,0.6698,0.8152,19.9249,0.5695
DilatedCNN+MRF log-split,2D only,Dub 9,Crack,0.1105,0.1991,0.3962,0.1329,0.5024,25.671,5.5512
DilatedCNN+MRF log-split,2D only,kmen9,Background,0.9989,0.9995,0.9995,0.9994,1.0,,
DilatedCNN+MRF log-split,2D only,kmen9,Bark,0.4749,0.644,0.8957,0.5027,0.719,,
DilatedCNN+MRF log-split,2D only,kmen9,Wood,0.985,0.9925,0.99,0.9949,0.9975,,
DilatedCNN+MRF log-split,2D only,kmen9,Knot,0.1867,0.3146,0.5833,0.2154,0.5393,34.0588,7.2927
DilatedCNN+MRF log-split,2D only,kmen9,Crack,0.4402,0.6113,0.4675,0.8828,0.6924,42.2611,1.071
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Background,0.996,0.998,0.9973,0.9987,0.9993,,
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Bark,0.7034,0.8259,0.9236,0.7468,0.8942,,
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Wood,0.9646,0.982,0.9699,0.9944,0.9876,,
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Knot,0.6969,0.8214,0.9696,0.7124,0.8471,19.0526,0.4589
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Crack,0.0503,0.0958,0.5472,0.0525,0.1751,41.3884,4.4976
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Background,0.9985,0.9993,0.9993,0.9992,0.9999,,
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Bark,0.4626,0.6326,0.8235,0.5135,0.7682,,
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Wood,0.9838,0.9919,0.9896,0.9941,0.9977,,
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Knot,0.2193,0.3597,0.5208,0.2747,0.6906,34.0147,9.2279
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Crack,0.5174,0.682,0.5699,0.8489,0.8034,41.3401,0.8931
DilatedCNN+MRF random-split,2D only,Dub 9,Background,0.9973,0.9987,0.9983,0.9991,0.9996,,
DilatedCNN+MRF random-split,2D only,Dub 9,Bark,0.6714,0.8034,0.9581,0.6917,0.8385,,
DilatedCNN+MRF random-split,2D only,Dub 9,Wood,0.9539,0.9764,0.9563,0.9973,0.979,,
DilatedCNN+MRF random-split,2D only,Dub 9,Knot,0.7217,0.8384,0.9676,0.7396,0.8664,19.7231,0.6639
DilatedCNN+MRF random-split,2D only,Dub 9,Crack,0.0775,0.1438,0.2075,0.11,0.6928,23.7908,4.5498
DilatedCNN+MRF random-split,2D only,kmen9,Background,0.9989,0.9995,0.9993,0.9996,0.9998,,
DilatedCNN+MRF random-split,2D only,kmen9,Bark,0.6011,0.7508,0.8856,0.6517,0.8479,,
DilatedCNN+MRF random-split,2D only,kmen9,Wood,0.9876,0.9938,0.9951,0.9925,0.9987,,
DilatedCNN+MRF random-split,2D only,kmen9,Knot,0.5323,0.6947,0.6875,0.7021,0.9895,18.7883,1.8436
DilatedCNN+MRF random-split,2D only,kmen9,Crack,0.3224,0.4876,0.3309,0.9263,0.5264,41.3401,1.0909
DilatedCNN+MRF random-split,2D + 3D MRF,Dub 9,Background,0.9969,0.9984,0.9981,0.9988,0.9996,,
DilatedCNN+MRF random-split,2D + 3D MRF,Dub 9,Bark,0.6675,0.8006,0.953,0.6903,0.8401,,
DilatedCNN+MRF random-split,2D + 3D MRF,Dub 9,Wood,0.9542,0.9766,0.9567,0.9973,0.9792,,
DilatedCNN+MRF random-split,2D + 3D MRF,Dub 9,Knot,0.7432,0.8527,0.9574,0.7686,0.8906,19.6469,0.5989
DilatedCNN+MRF random-split,2D + 3D MRF,Dub 9,Crack,0.0721,0.1345,0.4434,0.0793,0.3033,74.411,3.9137
DilatedCNN+MRF random-split,2D + 3D MRF,kmen9,Background,0.9986,0.9993,0.9991,0.9994,0.9999,,
DilatedCNN+MRF random-split,2D + 3D MRF,kmen9,Bark,0.5778,0.7324,0.826,0.6579,0.8867,,
DilatedCNN+MRF random-split,2D + 3D MRF,kmen9,Wood,0.9863,0.9931,0.9943,0.9919,0.9988,,
DilatedCNN+MRF random-split,2D + 3D MRF,kmen9,Knot,0.4746,0.6437,0.5833,0.7179,0.8966,19.0788,1.9001
DilatedCNN+MRF random-split,2D + 3D MRF,kmen9,Crack,0.4103,0.5818,0.4345,0.8803,0.661,41.2432,0.9401
UNet++ log-split,2D only,Dub 9,Background,0.9967,0.9983,0.9971,0.9996,0.9987,,
UNet++ log-split,2D only,Dub 9,Bark,0.6386,0.7795,0.9689,0.652,0.8045,,
UNet++ log-split,2D only,Dub 9,Wood,0.9458,0.9721,0.9482,0.9974,0.9747,,
UNet++ log-split,2D only,Dub 9,Knot,0.6395,0.7801,0.9889,0.6442,0.7889,17.6918,0.468
UNet++ log-split,2D only,Dub 9,Crack,0.1256,0.2232,0.7075,0.1325,0.3155,24.2281,2.8416
UNet++ log-split,2D only,kmen9,Background,0.9984,0.9992,0.9987,0.9997,0.9995,,
UNet++ log-split,2D only,kmen9,Bark,0.7688,0.8693,0.8821,0.8568,0.9855,,
UNet++ log-split,2D only,kmen9,Wood,0.9886,0.9943,0.9975,0.991,0.9968,,
UNet++ log-split,2D only,kmen9,Knot,0.3158,0.48,0.5,0.4615,0.96,25.1396,3.9481
UNet++ log-split,2D only,kmen9,Crack,0.4961,0.6632,0.5739,0.7854,0.8444,15.1658,0.664
UNet++ log-split,2D + 3D MRF,Dub 9,Background,0.9957,0.9979,0.9966,0.9991,0.9988,,
UNet++ log-split,2D + 3D MRF,Dub 9,Bark,0.6334,0.7756,0.9628,0.6493,0.8056,,
UNet++ log-split,2D + 3D MRF,Dub 9,Wood,0.9475,0.973,0.9494,0.9979,0.9751,,
UNet++ log-split,2D + 3D MRF,Dub 9,Knot,0.6912,0.8174,0.9844,0.6989,0.8304,17.088,0.3423
UNet++ log-split,2D + 3D MRF,Dub 9,Crack,0.1256,0.2232,0.7075,0.1325,0.3155,24.2281,2.8416
UNet++ log-split,2D + 3D MRF,kmen9,Background,0.9979,0.9989,0.9985,0.9994,0.9996,,
UNet++ log-split,2D + 3D MRF,kmen9,Bark,0.696,0.8208,0.7856,0.8592,0.9552,,
UNet++ log-split,2D + 3D MRF,kmen9,Wood,0.9859,0.9929,0.9965,0.9893,0.9964,,
UNet++ log-split,2D + 3D MRF,kmen9,Knot,0.3582,0.5275,0.5,0.5581,0.9451,25.4165,3.9162
UNet++ log-split,2D + 3D MRF,kmen9,Crack,0.4961,0.6632,0.5739,0.7854,0.8444,15.1658,0.664
UNet++ random-split,2D only,Dub 9,Background,0.9972,0.9986,0.9975,0.9997,0.9989,,
UNet++ random-split,2D only,Dub 9,Bark,0.6532,0.7902,0.9763,0.6637,0.8094,,
UNet++ random-split,2D only,Dub 9,Wood,0.9484,0.9735,0.9503,0.9979,0.9756,,
UNet++ random-split,2D only,Dub 9,Knot,0.6803,0.8098,0.9822,0.6888,0.8244,20.4695,0.6471
UNet++ random-split,2D only,Dub 9,Crack,0.1977,0.3302,0.6604,0.2201,0.5,17.0,1.6741
UNet++ random-split,2D only,kmen9,Background,0.9983,0.9992,0.9985,0.9998,0.9994,,
UNet++ random-split,2D only,kmen9,Bark,0.6843,0.8126,0.933,0.7197,0.8709,,
UNet++ random-split,2D only,kmen9,Wood,0.9867,0.9933,0.9966,0.9901,0.9967,,
UNet++ random-split,2D only,kmen9,Knot,0.2923,0.4524,0.3958,0.5278,0.8571,30.3809,6.4973
UNet++ random-split,2D only,kmen9,Crack,0.4482,0.6189,0.4906,0.8381,0.7385,41.3401,0.8527
UNet++ random-split,2D + 3D MRF,Dub 9,Background,0.9967,0.9983,0.9972,0.9995,0.9989,,
UNet++ random-split,2D + 3D MRF,Dub 9,Bark,0.6488,0.787,0.9732,0.6606,0.8087,,
UNet++ random-split,2D + 3D MRF,Dub 9,Wood,0.949,0.9738,0.9507,0.9981,0.9757,,
UNet++ random-split,2D + 3D MRF,Dub 9,Knot,0.7076,0.8287,0.9745,0.7209,0.8505,19.6469,0.5842
UNet++ random-split,2D + 3D MRF,Dub 9,Crack,0.1977,0.3302,0.6604,0.2201,0.5,17.0,1.6741
UNet++ random-split,2D + 3D MRF,kmen9,Background,0.9979,0.999,0.9984,0.9995,0.9994,,
UNet++ random-split,2D + 3D MRF,kmen9,Bark,0.697,0.8215,0.865,0.7821,0.9497,,
UNet++ random-split,2D + 3D MRF,kmen9,Wood,0.9854,0.9927,0.9965,0.9888,0.9961,,
UNet++ random-split,2D + 3D MRF,kmen9,Knot,0.3455,0.5135,0.3958,0.7308,0.7027,25.9422,4.029
UNet++ random-split,2D + 3D MRF,kmen9,Crack,0.4482,0.6189,0.4906,0.8381,0.7385,41.3401,0.8527
