Model,Condition,Log,Class,volume_vox,components,continuity,compactness
Ground Truth,-,Dub 9,Background,2828322,21,1.0,5.6977
Ground Truth,-,Dub 9,Bark,132232,4,1.0,307.4338
Ground Truth,-,Dub 9,Wood,1228082,4,1.0,11.7913
Ground Truth,-,Dub 9,Knot,5562,15,0.8375,20.8253
Ground Truth,-,Dub 9,Crack,106,30,0.1792,
Ground Truth,-,kmen9,Background,3539026,29,0.9999,1.9156
Ground Truth,-,kmen9,Bark,6030,14,0.6066,44.7028
Ground Truth,-,kmen9,Wood,645138,1,1.0,14.6264
Ground Truth,-,kmen9,Knot,48,7,0.5208,5.6059
Ground Truth,-,kmen9,Crack,4062,182,0.8008,44.1638
DilatedCNN+MRF log-split,2D only,Dub 9,Background,2823960,1,1.0,4.9415
DilatedCNN+MRF log-split,2D only,Dub 9,Bark,164129,7,0.9997,107.2425
DilatedCNN+MRF log-split,2D only,Dub 9,Wood,1197816,3,1.0,11.7171
DilatedCNN+MRF log-split,2D only,Dub 9,Knot,8083,10,0.7878,18.1346
DilatedCNN+MRF log-split,2D only,Dub 9,Crack,316,48,0.5759,17.5099
DilatedCNN+MRF log-split,2D only,kmen9,Background,3539307,2,1.0,1.7173
DilatedCNN+MRF log-split,2D only,kmen9,Bark,10743,54,0.4066,20.2728
DilatedCNN+MRF log-split,2D only,kmen9,Wood,641973,1,1.0,12.981
DilatedCNN+MRF log-split,2D only,kmen9,Knot,130,22,0.5308,6.052
DilatedCNN+MRF log-split,2D only,kmen9,Crack,2151,111,0.4919,35.732
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Background,2824042,1,1.0,4.6519
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Bark,164133,6,0.9998,95.6812
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Wood,1197240,2,1.0,11.4256
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Knot,7784,12,0.8068,16.212
DilatedCNN+MRF log-split,2D + 3D MRF,Dub 9,Crack,1105,231,0.2977,17.6801
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Background,3539455,1,1.0,1.7013
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Bark,10365,38,0.4202,20.2288
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Wood,641654,1,1.0,13.1637
DilatedCNN+MRF log-split,2D + 3D MRF,kmen9,Knot,102,15,0.5588,7.7436
